gender,workclass,education_level,education_num,marital_status,occupation,relationship,capital_loss,hours_per_week,inquiry_purpose_code,institute_type,account_type,asset_code,portfolio_type,approved_loan_amount,age,approved
Male, Private, Some-college,-0.1013101324465201, Divorced, Machine-op-inspct, Unmarried,-0.2644126153749733,0.5384312034049671,-0.7752037167844117,PVT,5.0,-0.0908772652014939,R,-1.3094946015507511,0.5279547727756421,-0.6950790750950001
Male, Private, HS-grad,-0.3903533538349704, Married-civ-spouse, Craft-repair, Husband,-0.2644126153749733,0.208936873036393,-0.4140914743895126,NBF,5.0,-0.0908772652014939,R,0.5926992659284804,1.2552642298961771,-0.6950790750950001
Female, Self-emp-not-inc, Bachelors,0.7658195317188305, Widowed, Sales, Unmarried,-0.2644126153749733,-0.1205574573321805,-0.4140914743895126,PVT,5.0,-0.0908772652014939,R,-1.5162935599646132,0.8512034203847689,-0.6950790750950001
Female, Private, 11th,-0.9684397966118709, Never-married, Sales, Own-child,-0.2644126153749733,-2.1798970221357665,-0.4140914743895126,NBF,5.0,-0.0908772652014939,R,0.5089100327780366,-1.6539735985859636,-0.6950790750950001
Male, Private, Bachelors,0.7658195317188305, Never-married, Sales, Own-child,-0.2644126153749733,-0.1205574573321805,-0.74511102991817,PVT,189.0,-0.0908772652014939,I,-0.2897618066134311,-0.6842276557585831,-0.6950790750950001
Male, Private, HS-grad,-0.3903533538349704, Never-married, Craft-repair, Not-in-family,-0.2644126153749733,-0.1205574573321805,-0.4140914743895126,NBF,5.0,-0.0908772652014939,R,-1.6107792909640504,-1.4923492747814002,-0.6950790750950001
Male, Private, HS-grad,-0.3903533538349704, Separated, Craft-repair, Not-in-family,-0.2644126153749733,-0.1205574573321805,2.173879596107263,NBF,189.0,-0.0908772652014939,I,0.6176577609094639,0.2047061251665154,-0.6950790750950001
Male, Private, Some-college,-0.1013101324465201, Married-civ-spouse, Exec-managerial, Husband,-0.2644126153749733,1.1150462815499709,-0.4140914743895126,NBF,5.0,-0.0908772652014939,R,0.4251207996275923,1.174452067993896,-0.6950790750950001
Male, Private, Some-college,-0.1013101324465201, Married-civ-spouse, Other-service, Husband,3.836237464336967,-0.532425370292898,-0.5946475955869621,PVT,5.0,-0.0908772652014939,R,-0.9761204185904732,1.3360763917984593,1.4386852314081315
Female, Private, Some-college,-0.1013101324465201, Never-married, Adm-clerical, Not-in-family,-0.2644126153749733,-2.75651210028077,-0.4140914743895126,NBF,173.0,-0.0908772652014939,I,-0.4965607650272931,-1.2499127890745552,-0.6950790750950001
